epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4681.46,1.21149,0.75943,1.35651,0.87266,0.79926,0.86853,0.50976,1.41423,0.86537,1.75035,0.0011882,0.0011882,0.0011882
43,4785.85,1.22978,0.76651,1.35931,0.88369,0.7881,0.86761,0.51379,1.35024,0.7975,1.68378,0.0011684,0.0011684,0.0011684
44,4898.4,1.1701,0.75741,1.34409,0.8731,0.81041,0.86897,0.50608,1.38787,0.82498,1.71406,0.0011486,0.0011486,0.0011486
45,5004.54,1.24525,0.76338,1.36751,0.90304,0.81413,0.88224,0.50392,1.38333,0.84302,1.70477,0.0011288,0.0011288,0.0011288
46,5108.26,1.18124,0.75295,1.36394,0.83849,0.82989,0.87877,0.51955,1.36544,0.83537,1.71501,0.001109,0.001109,0.001109
47,5213.71,1.21603,0.74344,1.36448,0.84931,0.7881,0.85108,0.49828,1.36398,0.86075,1.70321,0.0010892,0.0010892,0.0010892
48,5320.46,1.22335,0.76187,1.3668,0.92392,0.80669,0.88794,0.52446,1.37338,0.8148,1.66285,0.0010694,0.0010694,0.0010694
49,5427.61,1.183,0.70249,1.34945,0.88234,0.80848,0.87938,0.50078,1.4381,0.87254,1.72259,0.0010496,0.0010496,0.0010496
50,5534.98,1.19829,0.73843,1.33218,0.86712,0.83643,0.87986,0.52787,1.39085,0.8361,1.71478,0.0010298,0.0010298,0.0010298
51,5641.93,1.18671,0.72835,1.36057,0.89906,0.78439,0.85319,0.4968,1.39374,0.8152,1.72581,0.00101,0.00101,0.00101
52,5749.04,1.11818,0.6839,1.30612,0.88449,0.79554,0.86236,0.51215,1.37147,0.78509,1.68354,0.0009902,0.0009902,0.0009902
53,5856.25,1.16656,0.70125,1.30141,0.88352,0.84015,0.89574,0.51943,1.35697,0.7745,1.68799,0.0009704,0.0009704,0.0009704
54,5963.19,1.1632,0.68503,1.31121,0.91189,0.81784,0.89713,0.53847,1.33239,0.73216,1.63488,0.0009506,0.0009506,0.0009506
