epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.196,1.37862,2.10361,1.5208,0.79126,0.2342,0.45044,0.22021,1.43916,3.0548,1.85649,0.000649123,0.000649123,0.000649123
2,237.876,1.47992,1.70849,1.56275,0.38732,0.47584,0.32131,0.13514,1.66189,2.93811,2.39856,0.00130276,0.00130276,0.00130276
3,353.044,1.4789,1.66934,1.60177,0.4711,0.44039,0.39774,0.1554,1.87955,3.01547,2.65077,0.0019432,0.0019432,0.0019432
